# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Jul 26 02:52:58 2021
#
# User preference: *
#
# CONSTRAINT:  where (sy_diststr < 100)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
HD 216520 b,HD 216520,0,1,2,Radial Velocity,2020,Multiple Observatories,Published Confirmed,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210511583R/abstract target=ref>Rosenthal et al. 2021</a>,35.46600000,0.01500000,-0.01600000,0,0.195400,0.002500,-0.002500,0,,,,,,,,,10.36121,1.14418,-1.20775,0,0.03260,0.00360,-0.00380,0,Msini,0.190000,0.130000,-0.120000,0,,,,,,,,,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210511583R/abstract target=ref>Rosenthal et al. 2021</a>,,5160.01,69.53,-69.53,0,0.78,0.01,-0.01,0,0.79,0.03,-0.03,0,-0.124,0.057,-0.057,0,[Fe/H],4.55,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h47m30.45s,341.8768719,+83d41m51.11s,83.6975307,19.5520000,0.0113000,-0.0113000,7.5300000,0.0300000,-0.0300000,5.4490000,0.0210000,-0.0210000,7.2789600,0.0002180,-0.0002180,2021-06-28,2021-05,2021-06-28
HD 216520 b,HD 216520,1,1,2,Radial Velocity,2020,Multiple Observatories,Published Confirmed,0,<a refstr=BURT_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv201108867B/abstract target=ref>Burt et al. 2020</a>,35.45000000,0.01100000,-0.01100000,0,0.198000,0.000400,-0.000400,0,,,,,,,,,10.26000,0.99000,-0.99000,0,0.03228,0.00311,-0.00311,0,Msini,0.090000,0.060000,-0.060000,0,,,,,,,,,0,<a refstr=BURT_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv201108867B/abstract target=ref>Burt et al. 2020</a>,,5103.00,20.00,-20.00,0,0.76,0.01,-0.01,0,0.82,0.04,-0.04,0,-0.160,,,0,[Fe/H],4.54,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h47m30.45s,341.8768719,+83d41m51.11s,83.6975307,19.5520000,0.0113000,-0.0113000,7.5300000,0.0300000,-0.0300000,5.4490000,0.0210000,-0.0210000,7.2789600,0.0002180,-0.0002180,2020-12-10,2021-01,2020-12-17
HD 216520 c,HD 216520,1,1,2,Radial Velocity,2020,Multiple Observatories,Published Confirmed,0,<a refstr=BURT_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv201108867B/abstract target=ref>Burt et al. 2020</a>,154.43000000,0.44000000,-0.44000000,0,0.528000,0.010000,-0.010000,0,,,,,,,,,9.44000,1.63000,-1.63000,0,0.02970,0.00513,-0.00513,0,Msini,0.120000,0.080000,-0.080000,0,,,,,,,,,0,<a refstr=BURT_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv201108867B/abstract target=ref>Burt et al. 2020</a>,,5103.00,20.00,-20.00,0,0.76,0.01,-0.01,0,0.82,0.04,-0.04,0,-0.160,,,0,[Fe/H],4.54,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h47m30.45s,341.8768719,+83d41m51.11s,83.6975307,19.5520000,0.0113000,-0.0113000,7.5300000,0.0300000,-0.0300000,5.4490000,0.0210000,-0.0210000,7.2789600,0.0002180,-0.0002180,2020-12-10,2021-01,2020-12-17
HD 192263 b,HD 192263,1,1,1,Radial Velocity,1999,La Silla Observatory,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,24.35560000,0.00460000,-0.00460000,0,0.150000,0.000000,0.000000,0,,,,,,,,,177.98480,15.89150,-15.89150,0,0.56000,0.05000,-0.05000,0,Msini,0.050000,0.040000,-0.040000,0,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,4976.00,18.00,-18.00,0,0.74,0.01,-0.01,0,0.66,0.08,-0.08,0,0.030,,,0,[Fe/H],4.51,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h13m59.78s,303.4990864,-00d51m56.73s,-0.8657574,19.6359000,0.0218000,-0.0217000,7.7900000,0.0300000,-0.0300000,5.5370000,0.0230000,-0.0230000,7.4955800,0.0005780,-0.0005780,2018-09-04,2017-03,2018-09-06
HD 192263 b,HD 192263,0,1,1,Radial Velocity,1999,La Silla Observatory,Published Confirmed,0,<a refstr=SANTOS_ET_AL__2000 href=https://ui.adsabs.harvard.edu/abs/2000A&A...356..599S/abstract target=ref> Santos et al. 2000 </a>,24.13000000,0.09000000,-0.09000000,0,0.150000,,,0,,,,,,,,,232.01000,,,0,0.73000,,,0,Msini,0.000000,,,0,,,,,,,,,0,<a refstr=SANTOS_ET_AL__2000 href=https://ui.adsabs.harvard.edu/abs/2000A&A...356..599S/abstract target=ref> Santos et al. 2000 </a>,K2 V,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h13m59.78s,303.4990864,-00d51m56.73s,-0.8657574,19.6359000,0.0218000,-0.0217000,7.7900000,0.0300000,-0.0300000,5.5370000,0.0230000,-0.0230000,7.4955800,0.0005780,-0.0005780,2018-04-25,2000-04,2014-08-21
HD 192263 b,HD 192263,0,1,1,Radial Velocity,1999,La Silla Observatory,Published Confirmed,0,<a refstr=DRAGOMIR_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...754...37D/abstract target=ref>Dragomir et al. 2012</a>,24.35870000,0.00220000,-0.00220000,0,0.153120,0.000950,-0.000950,0,,,,,,,,,232.96000,4.76700,-4.76700,0,0.73300,0.01500,-0.01500,0,Msini,0.008000,0.014000,-0.014000,0,,,,,,,,,0,<a refstr=DRAGOMIR_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...754...37D/abstract target=ref>Dragomir et al. 2012</a>,,4996.00,44.00,-44.00,0,0.73,0.01,-0.01,0,0.81,0.01,-0.01,0,0.054,0.030,-0.030,0,[Fe/H],4.63,0.06,-0.06,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h13m59.78s,303.4990864,-00d51m56.73s,-0.8657574,19.6359000,0.0218000,-0.0217000,7.7900000,0.0300000,-0.0300000,5.5370000,0.0230000,-0.0230000,7.4955800,0.0005780,-0.0005780,2018-04-25,2012-07,2015-03-26
HD 192263 b,HD 192263,0,1,1,Radial Velocity,1999,La Silla Observatory,Published Confirmed,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210511583R/abstract target=ref>Rosenthal et al. 2021</a>,24.35970000,0.00160000,-0.00160000,0,0.154000,0.001900,-0.002000,0,,,,,,,,,209.13109,9.53485,-9.53485,0,0.65800,0.03000,-0.03000,0,Msini,0.040000,0.037000,-0.027000,0,,,,,,,,,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210511583R/abstract target=ref>Rosenthal et al. 2021</a>,,4998.15,97.05,-97.05,0,0.78,0.03,-0.03,0,0.82,0.03,-0.03,0,0.048,0.062,-0.062,0,[Fe/H],4.56,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h13m59.78s,303.4990864,-00d51m56.73s,-0.8657574,19.6359000,0.0218000,-0.0217000,7.7900000,0.0300000,-0.0300000,5.5370000,0.0230000,-0.0230000,7.4955800,0.0005780,-0.0005780,2021-06-28,2021-05,2021-06-28
HD 192263 b,HD 192263,0,1,1,Radial Velocity,1999,La Silla Observatory,Published Confirmed,0,<a refstr=VOGT_ET_AL__2000 href=https://ui.adsabs.harvard.edu/abs/2000ApJ...536..902V/abstract target=ref> Vogt et al. 2000 </a>,24.40000000,0.07000000,-0.07000000,0,0.150000,,,0,,,,,,,,,247.90000,,,0,0.78000,,,0,Msini,0.220000,0.140000,-0.140000,0,,,,,486,,,0,0,<a refstr=VOGT_ET_AL__2000 href=https://ui.adsabs.harvard.edu/abs/2000ApJ...536..902V/abstract target=ref> Vogt et al. 2000 </a>,K0 V,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h13m59.78s,303.4990864,-00d51m56.73s,-0.8657574,19.6359000,0.0218000,-0.0217000,7.7900000,0.0300000,-0.0300000,5.5370000,0.0230000,-0.0230000,7.4955800,0.0005780,-0.0005780,2018-04-25,2000-06,2014-08-21
HD 192263 b,HD 192263,0,1,1,Radial Velocity,1999,La Silla Observatory,Published Confirmed,0,<a refstr=BUTLER_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...646..505B/abstract target=ref> Butler et al. 2006 </a>,24.35560000,0.00460000,-0.00460000,0,0.153200,0.008800,-0.008800,0,,,,,,,,,203.72000,19.38700,-19.38700,0,0.64100,0.06100,-0.06100,0,Msini,0.055000,0.039000,-0.039000,0,,,,,,,,,0,<a refstr=BUTLER_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...646..505B/abstract target=ref> Butler et al. 2006 </a>,,4975.00,,,0,,,,,0.81,,,0,0.054,,,0,[Fe/H],4.60,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h13m59.78s,303.4990864,-00d51m56.73s,-0.8657574,19.6359000,0.0218000,-0.0217000,7.7900000,0.0300000,-0.0300000,5.5370000,0.0230000,-0.0230000,7.4955800,0.0005780,-0.0005780,2018-04-25,2006-07,2014-08-21
HD 192263 b,HD 192263,0,1,1,Radial Velocity,1999,La Silla Observatory,Published Confirmed,0,<a refstr=SANTOS_ET_AL__2003 href=https://ui.adsabs.harvard.edu/abs/2003A&A...406..373S/abstract target=ref> Santos et al. 2003 </a>,24.34800000,0.00500000,-0.00500000,0,0.150000,,,0,,,,,,,,,228.83000,,,0,0.72000,,,0,Msini,0.000000,,,0,,,,,,,,,0,<a refstr=SANTOS_ET_AL__2003 href=https://ui.adsabs.harvard.edu/abs/2003A&A...406..373S/abstract target=ref> Santos et al. 2003 </a>,,4995.00,50.00,-50.00,0,,,,,0.75,,,0,0.040,0.050,-0.050,0,[Fe/H],4.76,0.15,-0.15,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h13m59.78s,303.4990864,-00d51m56.73s,-0.8657574,19.6359000,0.0218000,-0.0217000,7.7900000,0.0300000,-0.0300000,5.5370000,0.0230000,-0.0230000,7.4955800,0.0005780,-0.0005780,2018-04-25,2003-07,2014-08-21
bet Pic b,bet Pic,1,1,2,Imaging,2008,Paranal Observatory,Published Confirmed,0,<a refstr=NIELSEN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...794..158N/abstract target=ref>Nielsen et al. 2014</a>,7665.00000000,7300.00000000,-730.00000000,0,9.100000,5.300000,-0.500000,0,,,,,,,,,,,,,,,,,,0.080000,0.320000,-0.060000,0,,,,,,,,,0,<a refstr=NIELSEN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...794..158N/abstract target=ref>Nielsen et al. 2014</a>,,,,,,,,,,1.76,0.18,-0.17,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h47m17.10s,86.8212337,-51d03m58.13s,-51.0661480,19.7442000,0.1320000,-0.1303000,3.8500000,0.0300000,-0.0300000,3.5260000,0.2220000,-0.2220000,3.8201500,0.0044271,-0.0044271,2018-10-05,2014-10,2015-08-13
bet Pic b,bet Pic,0,1,2,Imaging,2008,Paranal Observatory,Published Confirmed,0,<a refstr=SNELLEN__AMP__BROWN_2018 href=https://ui.adsabs.harvard.edu/abs/2018NatAs...2..883S/abstract target=ref>Snellen &amp; Brown 2018</a>,8110.00000000,,,-1,,,,,,,,,,,,,3496.13000,635.66000,-635.66000,0,11.00000,2.00000,-2.00000,0,Mass,,,,,,,,,,,,,0,<a refstr=SNELLEN__AMP__BROWN_2018 href=https://ui.adsabs.harvard.edu/abs/2018NatAs...2..883S/abstract target=ref>Snellen &amp; Brown 2018</a>,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h47m17.10s,86.8212337,-51d03m58.13s,-51.0661480,19.7442000,0.1320000,-0.1303000,3.8500000,0.0300000,-0.0300000,3.5260000,0.2220000,-0.2220000,3.8201500,0.0044271,-0.0044271,2018-10-05,2018-08,2018-10-04
bet Pic b,bet Pic,0,1,2,Imaging,2008,Paranal Observatory,Published Confirmed,0,<a refstr=LAGRANGE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019NatAs...3.1135L/abstract target=ref>Lagrange et al. 2019</a>,7800.00000000,,,0,9.000000,0.400000,-0.400000,0,,,,,,,,,3146.51700,,,0,9.90000,,,0,Mass,0.055000,,,1,,,,,,,,,0,<a refstr=LAGRANGE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019NatAs...3.1135L/abstract target=ref>Lagrange et al. 2019</a>,,,,,,,,,,1.75,,,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h47m17.10s,86.8212337,-51d03m58.13s,-51.0661480,19.7442000,0.1320000,-0.1303000,3.8500000,0.0300000,-0.0300000,3.5260000,0.2220000,-0.2220000,3.8201500,0.0044271,-0.0044271,2019-08-27,2019-08,2019-08-29
bet Pic b,bet Pic,0,1,2,Imaging,2008,Paranal Observatory,Published Confirmed,0,<a refstr=MACINTOSH_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014PNAS..11112661M/abstract target=ref>Macintosh et al. 2014</a>,7482.50000000,1058.50000000,-511.00000000,0,9.040000,0.820000,-0.410000,0,,,,,,,,,,,,,,,,,,0.060000,0.070000,-0.040000,0,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,8038.68,,,0,1.54,,,0,1.95,,,0,,,,,,4.35,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h47m17.10s,86.8212337,-51d03m58.13s,-51.0661480,19.7442000,0.1320000,-0.1303000,3.8500000,0.0300000,-0.0300000,3.5260000,0.2220000,-0.2220000,3.8201500,0.0044271,-0.0044271,2018-10-05,2014-03,2014-05-14
bet Pic b,bet Pic,0,1,2,Imaging,2008,Paranal Observatory,Published Confirmed,0,<a refstr=CURRIE_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...776...15C/abstract target=ref>Currie et al. 2013</a>,,,,,,,,,18.495,0.673,-0.673,0,1.650,0.060,-0.060,0,2224.81000,1271.32000,-953.49000,0,7.00000,4.00000,-3.00000,0,Mass,,,,,,,,,1612,38,-38,0,0,<a refstr=CURRIE_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...776...15C/abstract target=ref>Currie et al. 2013</a>,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h47m17.10s,86.8212337,-51d03m58.13s,-51.0661480,19.7442000,0.1320000,-0.1303000,3.8500000,0.0300000,-0.0300000,3.5260000,0.2220000,-0.2220000,3.8201500,0.0044271,-0.0044271,2018-10-05,2013-10,2015-08-13
bet Pic b,bet Pic,0,1,2,Imaging,2008,Paranal Observatory,Published Confirmed,0,<a refstr=BONNEFOY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...567L...9B/abstract target=ref> Bonnefoy et al. 2014</a>,,,,,8.900000,0.400000,-0.600000,0,16.800,2.200,-2.200,0,1.500,0.200,-0.200,0,6356.00000,,,1,20.00000,,,1,Mass,,,,,,,,,1650,150,-150,0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,8038.68,,,0,1.54,,,0,1.95,,,0,,,,,,4.35,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h47m17.10s,86.8212337,-51d03m58.13s,-51.0661480,19.7442000,0.1320000,-0.1303000,3.8500000,0.0300000,-0.0300000,3.5260000,0.2220000,-0.2220000,3.8201500,0.0044271,-0.0044271,2018-10-05,2014-07,2014-07-23
bet Pic b,bet Pic,0,1,2,Imaging,2008,Paranal Observatory,Published Confirmed,0,<a refstr=LAGRANGE_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...493L..21L/abstract target=ref> Lagrange et al. 2009 </a>,6000.00000000,,,0,8.000000,,,0,,,,,,,,,2542.53300,1589.08300,-635.63300,0,8.00000,4.00000,-2.00000,0,Mass,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,8038.68,,,0,1.54,,,0,1.95,,,0,,,,,,4.35,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h47m17.10s,86.8212337,-51d03m58.13s,-51.0661480,19.7442000,0.1320000,-0.1303000,3.8500000,0.0300000,-0.0300000,3.5260000,0.2220000,-0.2220000,3.8201500,0.0044271,-0.0044271,2018-10-05,2009-01,2014-05-16
bet Pic b,bet Pic,0,1,2,Imaging,2008,Paranal Observatory,Published Confirmed,0,<a refstr=WANG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152...97W/abstract target=ref>Wang et al. 2016</a>,8207.00000000,1377.00000000,-825.00000000,0,9.660000,1.120000,-0.640000,0,,,,,,,,,,,,,,,,,,0.080000,0.091000,-0.053000,0,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,8038.68,,,0,1.54,,,0,1.95,,,0,,,,,,4.35,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h47m17.10s,86.8212337,-51d03m58.13s,-51.0661480,19.7442000,0.1320000,-0.1303000,3.8500000,0.0300000,-0.0300000,3.5260000,0.2220000,-0.2220000,3.8201500,0.0044271,-0.0044271,2018-10-05,2016-10,2016-08-04
