# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Jul 25 23:03:47 2021
#
# User preference: *
#
# CONSTRAINT:  where (sy_snum = 2)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
K2-32 c,K2-32,0,2,4,Transit,2016,K2,Published Confirmed,0,<a refstr=SINUKOFF_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...827...78S/abstract target=ref>Sinukoff et al. 2016</a>,20.65614000,0.00598000,-0.00598000,0,0.140700,0.002400,-0.002400,0,3.480,0.970,-0.420,0,0.310,0.087,-0.037,0,,,,,,,,,,,,,,27.40,3.50,-3.50,0,583,19,-19,0,0,<a refstr=SINUKOFF_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...827...78S/abstract target=ref>Sinukoff et al. 2016</a>,G9 V,5315.00,60.00,-60.00,0,0.87,0.05,-0.05,0,0.87,0.04,-0.04,0,0.000,0.040,-0.040,0,[Fe/H],4.43,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m42.24s,252.4260080,-19d32m34.98s,-19.5430504,157.6820000,1.3090000,-1.2880000,12.3040000,0.0920000,-0.0920000,9.8210000,0.0190000,-0.0190000,12.0036000,0.0002590,-0.0002590,2019-06-03,2016-08,2016-07-07
K2-32 c,K2-32,0,2,4,Transit,2016,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,20.66178000,0.00070000,-0.00068000,0,,,,,2.730,0.170,-0.340,0,0.244,0.015,-0.030,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,,,,0.76,0.04,-0.05,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m42.24s,252.4260080,-19d32m34.98s,-19.5430504,157.6820000,1.3090000,-1.2880000,12.3040000,0.0920000,-0.0920000,9.8210000,0.0190000,-0.0190000,12.0036000,0.0002590,-0.0002590,2019-09-05,2019-09,2019-09-05
K2-32 c,K2-32,0,2,4,Transit,2016,K2,Published Candidate,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,20.66162300,0.00176200,-0.00172100,0,,,,,3.115,0.176,-0.122,0,0.280,0.020,-0.010,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,,5415.00,50.00,-50.00,0,0.84,0.03,-0.02,0,,,,,0.030,0.080,-0.080,0,[Fe/H],4.73,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m42.24s,252.4260080,-19d32m34.98s,-19.5430504,157.6820000,1.3090000,-1.2880000,12.3040000,0.0920000,-0.0920000,9.8210000,0.0190000,-0.0190000,12.0036000,0.0002590,-0.0002590,2018-02-15,2018-03,2018-02-15
K2-32 c,K2-32,0,2,4,Transit,2016,K2,Published Confirmed,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,20.66162300,0.00176200,-0.00172100,0,,,,,3.115,0.176,-0.122,0,0.278,0.016,-0.011,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,,5415.00,50.00,-50.00,0,0.84,0.03,-0.02,0,0.92,0.02,-0.03,0,0.030,0.080,-0.080,0,[Fe/H],4.73,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m42.24s,252.4260080,-19d32m34.98s,-19.5430504,157.6820000,1.3090000,-1.2880000,12.3040000,0.0920000,-0.0920000,9.8210000,0.0190000,-0.0190000,12.0036000,0.0002590,-0.0002590,2019-06-03,2018-03,2018-02-15
K2-32 c,K2-32,1,2,4,Transit,2016,K2,Published Confirmed,0,<a refstr=LILLO_BOX_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...640A..48L/abstract target=ref>Lillo-Box et al. 2020</a>,20.66093000,0.00080000,-0.00079000,0,0.138430,0.001150,-0.001080,0,3.134,0.123,-0.102,0,0.280,0.011,-0.009,0,8.10000,2.40000,-2.40000,0,0.02549,0.00755,-0.00755,0,Mass,0.049000,0.046000,-0.035000,0,,,,,634,9,-11,0,0,<a refstr=LILLO_BOX_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...640A..48L/abstract target=ref>Lillo-Box et al. 2020</a>,,5271.00,39.00,-35.00,0,0.86,0.02,-0.02,0,0.83,0.02,-0.02,0,-0.060,0.030,-0.030,0,[Fe/H],4.49,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m42.24s,252.4260080,-19d32m34.98s,-19.5430504,157.6820000,1.3090000,-1.2880000,12.3040000,0.0920000,-0.0920000,9.8210000,0.0190000,-0.0190000,12.0036000,0.0002590,-0.0002590,2021-05-17,2020-08,2021-05-17
K2-32 c,K2-32,0,2,4,Transit,2016,K2,Published Confirmed,0,<a refstr=PETIGURA_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..142P/abstract target=ref>Petigura et al. 2017</a>,20.66020000,0.00170000,-0.00170000,0,0.139900,0.001500,-0.001500,0,3.010,0.250,-0.250,0,0.269,0.022,-0.022,0,12.10000,,,1,0.03807,,,1,Mass,0.000000,,,0,25.60,3.60,-2.70,0,619,19,-19,0,0,<a refstr=PETIGURA_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..142P/abstract target=ref>Petigura et al. 2017</a>,,5275.00,60.00,-60.00,0,0.84,0.04,-0.04,0,0.86,0.03,-0.03,0,-0.020,0.040,-0.040,0,[Fe/H],4.49,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m42.24s,252.4260080,-19d32m34.98s,-19.5430504,157.6820000,1.3090000,-1.2880000,12.3040000,0.0920000,-0.0920000,9.8210000,0.0190000,-0.0190000,12.0036000,0.0002590,-0.0002590,2019-06-03,2017-04,2017-02-09
K2-32 c,K2-32,0,2,4,Transit,2016,K2,Published Confirmed,0,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...625A..31H/abstract target=ref>Heller et al. 2019</a>,20.66186000,0.00102000,-0.00098000,0,0.139900,0.001600,-0.001600,0,2.740,0.200,-0.160,0,0.244,0.018,-0.014,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...625A..31H/abstract target=ref>Heller et al. 2019</a>,,,,,,0.84,0.04,-0.04,0,0.86,0.03,-0.03,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m42.24s,252.4260080,-19d32m34.98s,-19.5430504,157.6820000,1.3090000,-1.2880000,12.3040000,0.0920000,-0.0920000,9.8210000,0.0190000,-0.0190000,12.0036000,0.0002590,-0.0002590,2019-06-03,2019-05,2019-06-13
K2-32 d,K2-32,0,2,4,Transit,2016,K2,Published Confirmed,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,31.71506100,0.00256700,-0.00215800,0,,,,,3.414,0.255,-0.144,0,0.305,0.023,-0.013,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,,5415.00,50.00,-50.00,0,0.84,0.03,-0.02,0,0.92,0.02,-0.03,0,0.030,0.080,-0.080,0,[Fe/H],4.73,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m42.24s,252.4260080,-19d32m34.98s,-19.5430504,157.6820000,1.3090000,-1.2880000,12.3040000,0.0920000,-0.0920000,9.8210000,0.0190000,-0.0190000,12.0036000,0.0002590,-0.0002590,2019-06-03,2018-03,2018-02-15
K2-32 d,K2-32,0,2,4,Transit,2016,K2,Published Candidate,0,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,31.71586800,,,0,,,,,3.130,,,0,0.279,,,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,,4686.00,,,0,0.72,,,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m42.24s,252.4260080,-19d32m34.98s,-19.5430504,157.6820000,1.3090000,-1.2880000,12.3040000,0.0920000,-0.0920000,9.8210000,0.0190000,-0.0190000,12.0036000,0.0002590,-0.0002590,2015-12-05,2016-01,2015-12-05
K2-32 d,K2-32,0,2,4,Transit,2016,K2,Published Confirmed,0,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...625A..31H/abstract target=ref>Heller et al. 2019</a>,31.71420000,0.00110000,-0.00100000,0,0.186200,0.002100,-0.002100,0,3.270,0.230,-0.190,0,0.292,0.021,-0.017,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...625A..31H/abstract target=ref>Heller et al. 2019</a>,,,,,,0.84,0.04,-0.04,0,0.86,0.03,-0.03,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m42.24s,252.4260080,-19d32m34.98s,-19.5430504,157.6820000,1.3090000,-1.2880000,12.3040000,0.0920000,-0.0920000,9.8210000,0.0190000,-0.0190000,12.0036000,0.0002590,-0.0002590,2019-06-03,2019-05,2019-06-13
K2-32 d,K2-32,0,2,4,Transit,2016,K2,Published Confirmed,0,<a refstr=PETIGURA_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..142P/abstract target=ref>Petigura et al. 2017</a>,31.71540000,0.00220000,-0.00220000,0,0.186200,0.002000,-0.002000,0,3.430,0.350,-0.350,0,0.306,0.031,-0.031,0,10.30000,4.70000,-4.70000,0,0.03241,0.01479,-0.01479,0,Mass,0.000000,,,0,14.50,2.00,-1.50,0,537,16,-16,0,0,<a refstr=PETIGURA_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..142P/abstract target=ref>Petigura et al. 2017</a>,,5275.00,60.00,-60.00,0,0.84,0.04,-0.04,0,0.86,0.03,-0.03,0,-0.020,0.040,-0.040,0,[Fe/H],4.49,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m42.24s,252.4260080,-19d32m34.98s,-19.5430504,157.6820000,1.3090000,-1.2880000,12.3040000,0.0920000,-0.0920000,9.8210000,0.0190000,-0.0190000,12.0036000,0.0002590,-0.0002590,2019-06-03,2017-04,2017-02-09
K2-32 d,K2-32,0,2,4,Transit,2016,K2,Published Candidate,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,31.71540000,0.00200000,-0.00200000,0,,,,,3.770,0.410,-0.410,0,0.336,0.037,-0.037,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,,5428.00,88.00,-88.00,0,0.92,0.07,-0.07,0,,,,,,,,,,4.45,0.07,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m42.24s,252.4260080,-19d32m34.98s,-19.5430504,157.6820000,1.3090000,-1.2880000,12.3040000,0.0920000,-0.0920000,9.8210000,0.0190000,-0.0190000,12.0036000,0.0002590,-0.0002590,2016-07-18,2016-09,2016-07-18
K2-32 d,K2-32,0,2,4,Transit,2016,K2,Published Confirmed,0,<a refstr=SINUKOFF_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...827...78S/abstract target=ref>Sinukoff et al. 2016</a>,31.71922000,0.00236000,-0.00236000,0,0.187300,0.003100,-0.003100,0,3.750,0.400,-0.400,0,0.335,0.036,-0.036,0,,,,,,,,,,,,,,15.40,2.00,-2.00,0,505,16,-16,0,0,<a refstr=SINUKOFF_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...827...78S/abstract target=ref>Sinukoff et al. 2016</a>,G9 V,5315.00,60.00,-60.00,0,0.87,0.05,-0.05,0,0.87,0.04,-0.04,0,0.000,0.040,-0.040,0,[Fe/H],4.43,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m42.24s,252.4260080,-19d32m34.98s,-19.5430504,157.6820000,1.3090000,-1.2880000,12.3040000,0.0920000,-0.0920000,9.8210000,0.0190000,-0.0190000,12.0036000,0.0002590,-0.0002590,2019-06-03,2016-08,2016-07-07
K2-32 d,K2-32,0,2,4,Transit,2016,K2,Published Candidate,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,31.71506100,0.00256700,-0.00215800,0,,,,,3.414,0.255,-0.144,0,0.300,0.020,-0.010,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,,5415.00,50.00,-50.00,0,0.84,0.03,-0.02,0,,,,,0.030,0.080,-0.080,0,[Fe/H],4.73,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m42.24s,252.4260080,-19d32m34.98s,-19.5430504,157.6820000,1.3090000,-1.2880000,12.3040000,0.0920000,-0.0920000,9.8210000,0.0190000,-0.0190000,12.0036000,0.0002590,-0.0002590,2018-02-15,2018-03,2018-02-15
K2-32 d,K2-32,0,2,4,Transit,2016,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,31.72360000,0.00130000,-0.00110000,0,,,,,3.140,0.180,-0.300,0,0.280,0.016,-0.030,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,,,,0.76,0.04,-0.05,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m42.24s,252.4260080,-19d32m34.98s,-19.5430504,157.6820000,1.3090000,-1.2880000,12.3040000,0.0920000,-0.0920000,9.8210000,0.0190000,-0.0190000,12.0036000,0.0002590,-0.0002590,2019-09-05,2019-09,2019-09-05
K2-32 d,K2-32,1,2,4,Transit,2016,K2,Published Confirmed,0,<a refstr=LILLO_BOX_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...640A..48L/abstract target=ref>Lillo-Box et al. 2020</a>,31.71701000,0.00101000,-0.00096000,0,0.184220,0.001520,-0.001440,0,3.484,0.112,-0.129,0,0.311,0.010,-0.012,0,6.70000,2.50000,-2.50000,0,0.02108,0.00787,-0.00787,0,Mass,0.050000,0.053000,-0.035000,0,,,,,550,8,-9,0,0,<a refstr=LILLO_BOX_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...640A..48L/abstract target=ref>Lillo-Box et al. 2020</a>,,5271.00,39.00,-35.00,0,0.86,0.02,-0.02,0,0.83,0.02,-0.02,0,-0.060,0.030,-0.030,0,[Fe/H],4.49,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m42.24s,252.4260080,-19d32m34.98s,-19.5430504,157.6820000,1.3090000,-1.2880000,12.3040000,0.0920000,-0.0920000,9.8210000,0.0190000,-0.0190000,12.0036000,0.0002590,-0.0002590,2021-05-17,2020-08,2021-05-17
K2-32 d,K2-32,0,2,4,Transit,2016,K2,Published Confirmed,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,31.71540000,0.00200000,-0.00200000,0,0.187900,0.002100,-0.002100,0,3.770,0.410,-0.410,0,0.336,0.037,-0.037,0,,,,,,,,,,,,,,18.70,3.10,-3.10,0,,,,,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,,5428.00,88.00,-88.00,0,0.92,0.07,-0.07,0,0.88,0.03,-0.03,0,,,,,,4.45,0.07,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m42.24s,252.4260080,-19d32m34.98s,-19.5430504,157.6820000,1.3090000,-1.2880000,12.3040000,0.0920000,-0.0920000,9.8210000,0.0190000,-0.0190000,12.0036000,0.0002590,-0.0002590,2019-06-03,2016-09,2016-07-18
K2-32 d,K2-32,0,2,4,Transit,2016,K2,Published Confirmed,0,<a refstr=DAI_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...823..115D/abstract target=ref>Dai et al. 2016</a>,31.71922000,0.00236000,-0.00236000,0,,,,,3.750,0.400,-0.400,0,0.335,0.036,-0.036,0,35.00000,,,1,0.11012,,,1,Mass,0.000000,,,0,,,,,,,,,0,<a refstr=DAI_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...823..115D/abstract target=ref>Dai et al. 2016</a>,,5315.00,60.00,-60.00,0,0.87,0.05,-0.05,0,0.87,0.04,-0.04,0,0.000,0.040,-0.040,0,[Fe/H],4.43,0.07,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m42.24s,252.4260080,-19d32m34.98s,-19.5430504,157.6820000,1.3090000,-1.2880000,12.3040000,0.0920000,-0.0920000,9.8210000,0.0190000,-0.0190000,12.0036000,0.0002590,-0.0002590,2019-06-03,2016-06,2016-05-05
